specimen,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,ES17,ES18,ES19,ES20
39 T40 Ace con.tif,0.002783272,-0.183314727,0.090517463,0.005673529,0.076296872,-0.006231492,0.045638299,-0.003518428,-0.004910894,0.001024696,-0.030984448,-0.01883076,0.006390309,0.019227827,-0.012387786,-0.014475036,-0.015172613,-0.012089811,-0.000182438,-0.002130702
41 Acme PlotLn1.tif,0.134054655,-0.0385951,0.090909176,-0.011858529,-0.006586739,-0.022322338,-0.015768045,-0.008492516,0.023378979,-0.021112002,0.014183434,0.007062926,-0.00175567,-0.004834308,0.007487136,0.005167733,0.013863318,-0.011637011,0.005558987,-0.008997863
45 T63 Bei too.tif,0.183978633,0.036763469,0.046638193,0.002904905,-0.029406739,-0.028743815,0.021289372,-0.008824431,0.020167729,-0.010730657,0.02718539,-0.00803737,0.006492114,-0.016426418,0.010073011,0.013873327,-0.003698045,-0.003337097,0.00459518,0.007862343
48 T59 Bro pla.tif,0.171105728,0.077635807,-0.079516616,0.044608473,0.098218245,0.011070171,-0.015038282,0.008131287,-0.006793249,-0.015135147,-0.002017804,-0.001061539,0.005044734,0.014572925,0.006196761,-0.004188465,0.008791628,0.005978432,-0.021041783,-0.007478583
51 Card T33N27n2.tif,0.118105868,-0.004284449,0.022324498,-0.000816679,0.046414532,0.070232353,-0.021533889,0.013981914,0.015833825,-0.001822217,-0.00302902,-0.006309627,0.019991468,0.00770916,0.010595361,-0.019540485,-0.005186369,0.031157022,-0.009355175,-0.010568465
54 T33 Car sub.tif,0.028289655,0.076807264,-0.00627757,0.012763327,-0.078454153,-0.023955893,-0.082868469,-0.004273407,-0.019533474,0.038296253,0.0138308,-0.017979902,0.008544041,-0.014390618,-0.008964109,0.00332883,0.006182292,-0.007106072,0.009544221,0.013725033
55 T30 Cer mac.tif,0.051755538,-0.118753148,-0.018478223,0.097786559,0.076426011,-0.024924475,0.015532472,-0.00617143,-0.035414736,0.023817688,-0.030391403,0.031866986,0.006307084,-0.002105678,0.000917429,-0.000797976,-0.001740932,-0.004072106,-0.007471886,-0.010034236
58 T25 Cry mur.tif,0.161636596,0.055786686,0.046383772,-0.075132321,-0.012555688,-0.016478341,-0.023429158,-0.010705986,0.033494494,0.005185855,-0.016945077,0.010437247,-0.020659843,-0.005301244,-0.00217301,0.002260666,-0.001527965,-0.011686303,0.015984885,-0.002658999
61 Dory T28G8n2.tif,0.000157997,-0.020299072,-0.038256447,0.048739641,0.034562659,0.031586976,-0.051096061,-0.024994077,-0.007402447,-0.00254354,0.023453056,-0.018984257,-0.005433486,-0.001190419,0.00028174,-0.011769057,-0.001369739,-0.005759859,0.001572268,0.017255731
64 Dory T28K24n2.tif,0.043702826,0.125143347,0.026731404,0.039935843,-0.011487435,0.03278426,-0.007278109,0.00732989,-0.032917589,0.014847546,-0.028037907,0.003875092,0.005469971,0.00629858,-0.006456449,0.008064259,0.019068146,0.042598462,-0.007209403,-0.004924778
68 T86 Dys arb.tif,0.176624647,-0.064945232,-0.105896398,0.067227964,0.015442786,-0.018298069,0.021723574,0.008570355,-0.023888544,0.014201751,0.001125361,0.015867868,0.003694345,0.003756946,0.006527185,-0.002708793,0.002683184,-0.005864075,-0.00037483,-0.01131728
70 T46 Ela ang.tif,0.194853834,-0.002453783,0.024763511,-0.000928832,0.00366229,-0.003594096,-0.022913064,0.010768162,-0.002040038,-0.024487428,0.025207582,-0.010365652,0.001477096,0.0159324,0.003551505,-0.005766705,0.001155062,0.00370598,-0.000170762,0.009709937
71 T34 End ins.tif,0.106901206,-0.124008919,-0.062704378,-0.001855568,0.005164556,0.016695684,0.008584589,-0.011251563,-0.003769367,0.001892615,-0.004425969,-0.010010633,0.005744257,0.000771164,-0.001320554,-6.36E-05,-0.005794691,-0.009911939,0.007969628,0.000350962
72 T52 End lep.tif,-0.142560777,-0.090571008,-0.07368938,0.068228558,0.087149186,0.074341933,-0.009205298,-0.036057512,0.020612674,0.01183093,0.004450905,-0.018463529,0.022368946,0.015703406,0.009575077,-0.009654825,-0.0225953,0.007117833,-0.004479866,-0.013499068
80 Endi T88M14n2.tif,0.040186092,0.366736859,0.109631776,-0.122900551,-0.061383895,0.022982886,0.004600234,0.002806457,-0.02151153,-0.000479524,-0.011954544,0.01306426,-0.010849872,-0.007765685,-0.017123501,0.008650453,-0.007075178,-0.010814511,-0.005313485,0.007290869
84 Euod T38J13n2.tif,0.044563942,-0.068852166,-0.073102234,0.011967942,0.016568413,0.079732064,0.001632973,0.044809091,-0.035561956,-0.045395495,0.004648413,-0.002877563,-0.01216709,-0.012071478,0.002402518,0.01709654,-0.014372375,0.017074037,0.02388188,0.046953267
88 T05 Fic var.tif,-0.257190478,-0.079188545,0.032179679,-0.054081028,0.019077678,-0.001984447,0.000336605,-0.012622049,-0.007764657,-0.013618981,0.009227814,0.016692758,0.006809361,-0.001563744,0.012273678,-0.003548038,0.021413067,0.000634879,0.000517873,-0.017700328
